str_no_string|NO STRING!{***}
str_npc13_fief_acceptance|NOT USED{***}
str_npc14_fief_acceptance|NOT USED{***}
str_npc15_fief_acceptance|NOT USED{***}
str_npc16_fief_acceptance|NOT USED{***}
str_npc1_woman_to_woman|NOT USED{***}
str_npc2_woman_to_woman|NOT USED{***}
str_npc3_woman_to_woman|NOT USED{***}
str_npc4_woman_to_woman|NOT USED{***}
str_npc5_woman_to_woman|NOT USED{***}
str_npc6_woman_to_woman|NOT USED{***}
str_npc7_woman_to_woman|NOT USED{***}
str_npc8_woman_to_woman|NOT USED{***}
str_npc9_woman_to_woman|NOT USED{***}
str_npc10_woman_to_woman|NOT USED{***}
str_npc11_woman_to_woman|NOT USED{***}
str_npc12_woman_to_woman|NOT USED{***}
str_npc13_woman_to_woman|NOT USED{***}
str_npc14_woman_to_woman|NOT USED{***}
str_npc15_woman_to_woman|NOT USED{***}
str_npc16_woman_to_woman|NOT USED{***}
str_npc1_turn_against|We meet again, Captain... On opposite sides of a rail this time. No one is to blame, life is just like that...{***}
str_npc2_turn_against|So, {Senor/Senora}, we are enemies now. Of course we can't forget the times we've spent together, but today we follow two different banners.{***}
str_npc3_turn_against|Greetings, {Caballero/Senora}! Can't say I am happy to meet you as an enemy, but I am not that despondent either. A war is a war.{***}
str_npc4_turn_against|{My Lord/My Lady}, I have few words. If we have to fight, let's get it over with quickly.{***}
str_npc5_turn_against|Massa! We enemies now. You know people serve good leaders who win and loot more. Juba not your man now.{***}
str_npc6_turn_against|{playername}, it was the will of the spirits to put us on the warpath. We can't do anything about that; the gods have ordained so.{***}
str_npc7_turn_against|Verily, the ways of the Lord are mysterious. Who could knew you would one day meet your assistant of the past on a battlefield, in charge of a hostile detachment? But if God so wills, to arms!{***}
str_npc8_turn_against|Bowsprit through me back, {Sonny/Daughter}! That's ye? I be recallin' ye 'ad a nice ring, with a 'uge ruby - if ye fall or get captured, it's mine!{***}
str_npc9_turn_against|You say we've met before? Not sure if I remember. I've met and served plenty of people. A Zaporizhian Cossack is a free bird. So, prepare to battle...{***}
str_npc10_turn_against|{Meester/Mevrouw}, you have to understand. We are both people of business, and the goods go to one who offers a better price. That's why I am with your enemies now. Nothing personal, I assure you...{***}
str_npc11_turn_against|Mon Dieu! I could only dream of an adversary like you, {Monsieur/Madame}! Let's cross our swords quickly, it will be a battle to sing songs about!{***}
str_npc12_turn_against|I have to fight my ex-commander now? I wish I wouldn't have to, but the interests of the Maltese Order have brought me into the camp of your enemies. No offense...{***}
str_npc13_turn_against|NOT USED{***}
str_npc14_turn_against|NOT USED{***}
str_npc15_turn_against|NOT USED{***}
str_npc16_turn_against|NOT USED{***}
str_npc1_personal_mission|Captain, may I have a word in private? Remember I told you about Henry Morgan's Panama raid and the fifty seven mules loaded with silver and gold? Well, I managed to hide a sack as we were refilling water at {s17}. Only I know where to seek the treasure. I wish to dig it out and return to the ship. If all goes well, a third of my loot is yours.{***}
str_npc2_personal_mission|{Senor/Senora}! I just heard that the lieutenant who caused my misfortunes is ashore at {s17} now! Finally, an opportunity to avenge the disgrace and restore my honour!{***}
str_npc3_personal_mission|{Caballero/Senora}! We aren't far from {s17} now, where the unit I used to serve with is stationed, as I heard. Allow me to visit them and finish my business. I don't want them to think me a deserter. Will find it out what kind of loot we could get in there, too.{***}
str_npc4_personal_mission|Commander, I've heard one of the patriots who saved the Scottish crown from Cromwell is residing at {s17}. It is crucial for me to meet up with him. I will find your company later.{***}
str_npc5_personal_mission|Hear me, Massa! I meet man of secret black brotherhood today. He say colony of former slaves near {s17}! I go there and look. I wait it many moons!{***}
str_npc6_personal_mission|I've met a man on a street. He told me the governor of {s17} keeps my tribe's relic in his treasury. There is no mistake - a gold figurine weighing 3 pounds, with the eyes of emerald half an inch wide! It was delivered to the fortress in secret. They guard it carefully and plan to take it out to the Old World, they say! I have to save it. Please, a week to fulfill my duty to my people!{***}
str_npc7_personal_mission|{Master/My Lady}, I've been told a native tribe whose chief I long desired to meet up with has been spotted near {s17}. I will leave you for a time, this is very important.{***}
str_npc8_personal_mission|'ey, {Sonny/Daughter}! There is a raid bein' planned at {s17}, to tickle them Mexico forts. They be sayin' there are outhouses made of gold in there! If ye don't mind, I'd be joinin' the lads for a little while.{***}
str_npc9_personal_mission|Good news, Ataman! I've met my fellow countryman in {s17}. He says our lads are going to start the American Sich here in the Caribbean. I'll pay them a visit and look around, yes? There's that saying, two Cossacks make three hetmans...{***}
str_npc10_personal_mission|{Meester/Mevrouw}, we're near {s17} now. They say these lands are home to the rarest kinds of orchids. I will leave you for a while and try to find them, to start building my future prosperity.{***}
str_npc11_personal_mission|{Monsieur/Madame}, please, listen to me! My beloved is very near, aboard one of the ships in the harbor at {s17}. I must use this chance and try to kidnap her! Sorry, I have to go for a while.{***}
str_npc12_personal_mission|Lieutenant! A settlement inhabited by people who call themselves the Maltese has been found near {s17}. I must go there and find it out who these people are. In any case, I am not planning to breach my service to you.{***}
str_npc13_personal_mission|NOT USED{***}
str_npc14_personal_mission|NOT USED{***}
str_npc15_personal_mission|NOT USED{***}
str_npc16_personal_mission|NOT USED{***}
str_npc1_personal_mission_report|There you are, Captain! Some pig must have followed me to the spot. My gold is gone! But the illiterate fool missed the most precious part: the map! Old Morgan himself marked on it where the 'Nuestra Seniora de la Concepcion' went down. An entire galleon full of silver and gold, lying off the shore of Hispaniola! We'll have to get wet a bit, but if we raise its treasure, we'll be dirty rich!{***}
str_npc2_personal_mission_report|{Senor/Senora}, I found you at last! The bastard managed to escape my vengeance once more. He begged and groveled and tried to ransom his life with some dirty old map claiming Pizarro marked his treasure cache on it, and when I got distracted, he fled and raised an alarm. I had to retreat, alas. I've kept the map, though, in case you're interested. From the look of it, the place is in New Granada, in the Andes south of Cartagena.{***}
str_npc3_personal_mission_report|It's me again, {Caballero/Senora}! I had some good times with my lads. Won a whole bunch of silver at dice. A funny story that was - Pedro Arriaran, our old sergeant, had lost his last pair of boots and bet some old map out of desperation. Said he'd inherited it from his great grandfather, who had been serving under that loonie Aguirre. It supposedly shows the location of the entrance to an underground passage to Eldorado. Why, I accepted, and naturally won. Don't need it really, so take it, see if you can use it. Who knows, Aguirre had indeed searched for Eldorado until he went all barmy. Sailed up the Orinoco, that's a river down east, Pomeroon is right beside its mouth.{***}
str_npc4_personal_mission_report|Commander! I have great news! I've got a map pointing a way to the royal regalia of Scotland! We should head that way at once! There are other, more mundane treasures buried along with the crown, treasures you will certainly appreciate. The cache is hidden somewhere in the middle of Cuba. We'll have to land in Havana, hire some guides and porters...{***}
str_npc5_personal_mission_report|Massa, I return... Black man colony no more. White man kill and capture all, raze homes and burn fields. But my brothers die well. Kill many white devils. I find skeleton of big white chief in forest. Much gold, nice sword, rusty hoe in belly, hah. I take scroll from corpse. Has map and inscription, you look. White devils sell slaves, must be Dutch. Curacao. I know them well. Too much.{***}
str_npc6_personal_mission_report|I see you. Woe to me, the sacred treasure of my people is gone, the accursed thieves already carried it off over the big water. But by the spirits' will, I overheard a conversation in the palace. Those coyotes spoke of a treasure of the French, who were exiled from their home for revering their spirits in a different way than others. These 'huguenots,' they call them, settled our land with all their treasures, but diseases cut their village down to the last man. The governor has found a scroll telling where to find its ruins. The spirits told me this thief must not possess the treasures of the dead, and so I stole the scroll from the palace. There it is. The spirits say, the village was to the east, on the isles the French have settled ever since.{***}
str_npc7_personal_mission_report|{Master/My Lady}, I spent wonderful time with the native tribe. Their chief is truly a remarkable man, he told me some amazing stories. Some of them might interest you, too. He told me of a people called Maya, far to the west, on the Yucatan peninsula. They are savages now, but some centuries ago theirs was a mighty civilization rivaling the kingdoms of Incas and Aztecs. His tribe are descendants of the Mayan settlers. He told me a legend of the treasures his ancestors hid in their homeland, and even drew a crude map. Maybe we'll visit those lands someday.{***}
str_npc8_personal_mission_report|A 'ook up me ear, {Sonny/Daughter}, I 'ave to say I be glad to see ye. Our Mexico trip didn't go all too well... crappy it went, that is. All in the past now, though. Well, there be that fella on me ship, boastin' 'e knows where the late Flint 'ad buried 'is gold. Be sayin' 'e 'as a map, too. And, well, me and 'im be drinkin' one night, one thing lead to another, and I be stabbin' 'im a bit, and 'e be passin' away. 'ad a map indeed. I can't read the bloody thing though. 'e be babblin' the chest's buried on Bahamas, that's where Nassau is. So, well, take it or somethin'. If ye put it to some use, a share's on ye!{***}
str_npc9_personal_mission_report|Bless you, Ataman! Well, I've met with my mates, feasted on some salo, drank some gorilka, crushed some jaws, and that's enough for now. They told me a funny tale, by the way. Ever heard of our hetman Polubotok, whom the Muscovites thrown into dungeon to rot? Word is, he delivered all his gold to the English bankers for safekeeping first, a whole hundred stones. That's a load of bull, though - in truth, our Cossacks have buried his greatest treasure here on Jamaica, and that's what my mates are looking for. Even drawn a map for me after emptying some bottles. What say you, Ataman, care to visit the hetman's cache?{***}
str_npc10_personal_mission_report|{Meester/Mevrouw}, my luck has turned away again. Not a day had I spent in the jungle when the ague got me. Fortunately, Van Hoorn's old manor was nearby, and they treated me back to my feet there. What, you haven't heard of Van Hoorn? Why, he was among the richest Dutchmen in the New World. They say, he has found a silver mine and developed it in secrecy. Since the day an assassin got him, many have tried to find Van Hoorn's mine, but everyone failed. By the way, while staying at his home, I copied some strange encrypted map I found in a secret locker in his library. Looks a lot like the isthmus of Panama - no wonder, the Spanish dig their silver there, too. Why don't we try our luck?{***}
str_npc11_personal_mission_report|{Monsieur/Madame}, my dreams are crushed by evil fate once again! I reached the very window of my beloved's cabin, but at the sight of me she yelled so loud - out of joy, no doubt - that the entire garrison was there in no time! I felled a twoscore of them, no less, but still had to make my retreat. The next night, I tried again, but the villains had already shipped her out on another vessel in secret! But I found something interesting in the governor's cabin. He has had some dealings with the bloody Spaniards! They buy back the convicted papists from him, the ones the English send to Barbados in chains for a life of hard labor! Hides his gold on their lands, too, somewhere east of Cumana. I stole the map, too. Here it is!{***}
str_npc12_personal_mission_report|I am back as I promised, Lieutenant. Alas, the brethren I have found are not the survivors of my shipwreck, but I was glad to meet them anyway. One of the brothers told me a fascinating story... It appears our wayward comrades, the Knights of the Temple, sought a new home beyound the boundless ocean centuries before us -- and before Columbus, too! Jacques de Molay, the last Grandmaster, personally oversaw the sending of a fleet of five galleys westward, and my brothers here claim one of these reached these shores. I admit I had a hard time believing them, but they gave me a map marking the shipwreck of the Templar galley. It must the shores of Guadeloupe, near Basse Terre...{***}
str_npc13_personal_mission_report|NOT USED{***}
str_npc14_personal_mission_report|NOT USED{***}
str_npc15_personal_mission_report|NOT USED{***}
str_npc16_personal_mission_report|NOT USED{***}
str_finished|(Finished){***}
str_delivered_damage|Delivered {reg60} damage.{***}
str_archery_target_hit|Distance: {reg61} yards. Score: {reg60}{***}
str_use_baggage_for_inventory|Use your baggage to access your inventory during battle (it's at your starting position).{***}
str_cant_use_inventory_now|Can't access inventory now.{***}
str_cant_use_inventory_arena|Can't access inventory in the fighting pits.{***}
str_cant_use_inventory_disguised|Can't access inventory while you're disguised.{***}
str_cant_use_inventory_tutorial|Can't access inventory in the training camp.{***}
str_1_denar|1 piastre{***}
str_reg1_denars|{reg1} piastres{***}
str_january_reg1_reg2|January {reg1}, {reg2}{***}
str_february_reg1_reg2|February {reg1}, {reg2}{***}
str_march_reg1_reg2|March {reg1}, {reg2}{***}
str_april_reg1_reg2|April {reg1}, {reg2}{***}
str_may_reg1_reg2|May {reg1}, {reg2}{***}
str_june_reg1_reg2|June {reg1}, {reg2}{***}
str_july_reg1_reg2|July {reg1}, {reg2}{***}
str_august_reg1_reg2|August {reg1}, {reg2}{***}
str_september_reg1_reg2|September {reg1}, {reg2}{***}
str_october_reg1_reg2|October {reg1}, {reg2}{***}
str_november_reg1_reg2|November {reg1}, {reg2}{***}
str_december_reg1_reg2|December {reg1}, {reg2}{***}
str_town_nighttime|It is late at night and honest folk have abandoned the streets.{***}
str_door_locked|The door is locked.{***}
str_castle_is_abondened|The fortress seems to be unoccupied.{***}
str_town_is_abondened|The town has no garrison defending it.{***}
str_place_is_occupied_by_player|The place is held by your own troops.{***}
str_place_is_occupied_by_enemy|The place is held by hostile troops.{***}
str_place_is_occupied_by_friendly|The place is held by friendly troops.{***}
str_do_you_want_to_retreat|Are you sure you want to retreat?{***}
str_give_up_fight|Give up the fight?{***}
str_do_you_wish_to_leave_tutorial|Do you wish to leave the tutorial?{***}
str_do_you_wish_to_surrender|Do you wish to surrender?{***}
str_can_not_retreat|Can't retreat, there are enemies nearby!{***}
str_s1_joined_battle_enemy|{s1} joins the battle on the enemy side!{***}
str_s1_joined_battle_friend|{s1} joins the battle on your side!{***}
str_entrance_to_town_forbidden|The town guards are on the lookout for intruders. It seems you won't be able to pass through the gates unchallenged.{***}
str_sneaking_to_town_impossible|The town guards are alarmed. You wouldn't be able to sneak through that gate no matter how well you disguised yourself.{***}
str_battle_won|You have won the battle!{***}
str_battle_lost|You have lost the battle!{***}
str_attack_walls_success|After a bloody struggle, your brave soldiers manage to drive the enemy from the walls.{***}
str_attack_walls_failure|Your soldiers fall in waves as they charge the walls, and the few who remain alive soon rout and run away, never to be seen again.{***}
str_attack_walls_continue|A bloody battle ensues and both sides fight with equal valour. Despite the efforts of your troops, the enemy still holds.{***}
str_order_attack_success|Your men fight bravely and rout the enemy.{***}
str_order_attack_failure|You watch in despair as the enemies cut your soldiers down, then easily drive off the few ragged survivors.{***}
str_order_attack_continue|Despite an extended skirmish, your troops were unable to win a decisive victory.{***}
str_join_order_attack_success|Your men fight well alongside your allies, sharing in the glory as your enemies are beaten.{***}
str_join_order_attack_failure|You watch in despair as the enemies cut your soldiers down, then easily drive off the few ragged survivors.{***}
str_join_order_attack_continue|Despite an extended skirmish, neither your troops nor your allies were able to win a decisive victory over the enemy.{***}
str_siege_defender_order_attack_success|The men of the garrison hold the walls with skill and courage, breaking the enemy assault and skillfully turning the defeat into a full-fledged rout.{***}
str_siege_defender_order_attack_failure|The assault quickly turns into a bloodbath. Valiant efforts are for naught; the overmatched garrison cannot hold the walls, and the enemy puts every last defender to the sword.{***}
str_siege_defender_order_attack_continue|Repeated, bloody attempts on the walls fail to gain any ground, but too many enemies remain for the defenders to claim a true victory. The siege continues.{***}
str_hero_taken_prisoner|{s1} of the {s3} has been taken prisoner by the {s2}.{***}
str_hero_freed|{s1} of the {s3} has been freed from captivity by the {s2}.{***}
str_center_captured|The {s2} takes {s1} from the {s3}.{***}
str_troop_relation_increased|Your relation with {s1} has increased from {reg1} to {reg2}.{***}
str_troop_relation_detoriated|Your relation with {s1} has deteriorated from {reg1} to {reg2}.{***}
str_faction_relation_increased|Your relation with the {s1} has increased from {reg1} to {reg2}.{***}
str_faction_relation_detoriated|Your relation with the {s1} has deteriorated from {reg1} to {reg2}.{***}
str_party_gained_morale|Your party gains {reg1} morale.{***}
str_party_lost_morale|Your party loses {reg1} morale.{***}
str_other_party_gained_morale|{s1} gains {reg1} morale.{***}
str_other_party_lost_morale|{s1} loses {reg1} morale.{***}
str_qst_follow_spy_noticed_you|The spy has spotted you! He's making a run for it!{***}
str_s3s_s2|{s3}'s {s2}{***}
str_s5_is_s51|{s5} is {s51}.{***}
str_s5_is_the_ruler_of_s51|{s5} rules over the colonies controlled by the {s51}.{***}
str_s5_is_a_nobleman_of_s6|{s5} is a famous {reg4?captain:captain} of the {s6}.{***}
str_real_deployment_start|Give orders as normal.^Your Tactics Skill allows you {reg0} division placements with the Hold-{s48} function.^Hit '{s49}' to start the battle before they are all used.{***}
str_real_deployment_end|Deployment Complete^Prepare for battle!{***}
str_order_wpt_ranged|bows and missiles{***}
str_order_wpt_onehand|side arms{***}
str_order_wpt_twohands|two-handers{***}
str_order_wpt_polearm|polearms{***}
str_order_wpt_ready|ready{***}
str_order_wpt_shields|shields{***}
str_order_wpt_use_shield|brandish{***}
str_order_wpt_no_shield|doff your{***}
str_order_wpt_free_shield|free{***}
str_order_skirmish_end|stand and fight{***}
str_order_skirmish_start|avoid melee{***}
str_order_volley_end|end volley{***}
str_order_volley_start|prepare to volley{***}
str_order_volley_rank_start|fire by rank{***}
str_order_volley_platoon_start|fire by platoon{***}
str_order_pavise_end|recover shields{***}
str_order_pavise_start|deploy pavise for cover{***}
str_order_crouch_end|recover and stand{***}
str_order_crouch_start|crouch and take cover{***}
str_order_firearrow_end|extinguish flames{***}
str_order_firearrow_start|ignite arrows{***}
str_order_num_ranks_add|add another rank{***}
str_order_num_ranks_remove|remove one rank{***}
str_s1_exclamation_point|{s1}!{***}
str_everyone|Everyone{***}
str_perk_name_57|Born leader{***}
str_perk_name_63|Hotshot{***}
str_perk_name_61|Journeyman gunner{***}
str_perk_name_60|Peddler{***}
str_perk_name_62|Quick blade{***}
str_perk_name_59|Sergeant{***}
str_perk_name_58|Ship boy{***}
str_perk_name_64|Stableman{***}
str_perk_name_18|Blacksmith{***}
str_perk_name_02|Butcher{***}
str_perk_name_21|Chef{***}
str_perk_name_17|Farrier{***}
str_perk_name_01|Fencer{***}
str_perk_name_32|Firefighter{***}
str_perk_name_03|Hammerstrike!{***}
str_perk_name_11|Horse tamer{***}
str_perk_name_13|Sutler{***}
str_perk_name_16|Tailor{***}
str_perk_name_33|Commander{***}
str_perk_name_23|Diplomat{***}
str_perk_name_14|Herdsman{***}
str_perk_name_45|Infantry captain{***}
str_perk_name_44|Musketeer captain{***}
str_perk_name_34|Skipper{***}
str_perk_name_37|Battery Commander{***}
str_perk_name_26|Blasphemer{***}
str_perk_name_46|Cavalry captain{***}
str_perk_name_12|Easy rider{***}
str_perk_name_24|Good catholic{***}
str_perk_name_25|Puritan{***}
str_perk_name_08|Quick shot{***}
str_perk_name_19|Wiry man{***}
str_perk_name_04|Duelist{***}
str_perk_name_20|Entrepreneur{***}
str_perk_name_15|Marauder{***}
str_perk_name_54|Privateer{***}
str_perk_name_27|Recruiter{***}
str_perk_name_38|Sixth sense{***}
str_perk_name_05|Street scourge{***}
str_perk_name_39|Crushing ram{***}
str_perk_name_29|Friends at court{***}
str_perk_name_40|Gunner{***}
str_perk_name_48|Infantry colonel{***}
str_perk_name_28|Instructor{***}
str_perk_name_47|Musketeer colonel{***}
str_perk_name_55|Pirate{***}
str_perk_name_06|Bladewind{***}
str_perk_name_49|Cavalry colonel{***}
str_perk_name_09|Hawkeye{***}
str_perk_name_36|Shipwright{***}
str_perk_name_31|Lucky leader{***}
str_perk_name_41|Destroyer{***}
str_perk_name_56|Sea devil{***}
str_perk_name_42|Firestarter{***}
str_perk_name_53|Grey eminence{***}
str_perk_name_51|Infantry general{***}
str_perk_name_50|Musketeer general{***}
str_perk_name_43|Sea king{***}
str_perk_name_52|Cavalry general{***}
str_perk_long_descr_57|You've been able to make others follow you since childhood. Wherever you go, you easily find companionship.{***}
str_perk_long_descr_63|You display a good degree of marksmanship - for the kind of firearms you have to suffer, anyway.{***}
str_perk_long_descr_61|As a rank and file crewman of a battery, you've gained some skill at aiming a cannon where it's needed the most.{***}
str_perk_long_descr_60|You've learned the basics of the fine art of buying and selling - and of not going broke in process.{***}
str_perk_long_descr_62|You are pretty good with a knife, they say. You may have a good career as a swordsman ahead of you, if only you don't meet someone better.{***}
str_perk_long_descr_59|Not only you are good at soldiering, you aren't that bad at passing this skill on to others.{***}
str_perk_long_descr_58|You've quickly grasped the basics of life at sea, learning every scrap of knowledge about seamanship you could.{***}
str_perk_long_descr_64|You are good with horses, and that's mutual.{***}
str_perk_long_descr_18|You are skillful not only with sword or musket, but with hammer and grindstone as well. You maintain weapons and armor in top condition.{***}
str_perk_long_descr_02|You can cleave a horse in twain. Along with an armored rider, sometimes.{***}
str_perk_long_descr_21|Among your many talents are some uncommon ones. The meals prepared under your guidance excites everyone in your camp.{***}
str_perk_long_descr_17|You've studied the anatomy of horses, and can perform wonders with sick, lame and wounded animals.{***}
str_perk_long_descr_01|You have learned to drive your sword's tip through a needle's eye. With your eyes closed.{***}
str_perk_long_descr_32|There is nothing worse for a wooden ship than a fire. Having realized that, you have drilled your crew to react instantly to an open flame.{***}
str_perk_long_descr_03|'Strew him whole with flour, and hand me my mace!' That anecdote could have been based on your exploits.{***}
str_perk_long_descr_11|You've learned to find an approach to the most stubborn of horses. Stallions that unhorse the most experienced riders calmly permit you to mount them.{***}
str_perk_long_descr_13|'The dead don't need it anymore.' This motto has become your creed as you strip the baggage and personal belongings of slain enemies for money, food and anything else you can sell on the market.{***}
str_perk_long_descr_16|There is no dirty rag in the world you can't make a decent dress from. The tatters get a second life in your skilled hands.{***}
str_perk_long_descr_33|They say de Graaf captured a sloop with a boat, then a brigantine with a sloop, then a frigate with a brigantine. You, too, can handle any kind of ship the moment you step on its deck.{***}
str_perk_long_descr_23|You approach other people easily. Sometimes it seems you are surrounded by some kind of aura of benevolence, affecting everyone around you.{***}
str_perk_long_descr_14|Your uncanny ability to befriend horses helps you to recover more runaway mounts after a battle.{***}
str_perk_long_descr_45|The soldiers under your command fear no enemy in melee, where they display amazing feats of bravery and strength.{***}
str_perk_long_descr_44|Your musketeers are well-trained, displaying outstanding accuracy and rate of fire.{***}
str_perk_long_descr_34|You've got a perfect sense of the weather and are able to predict the smallest change in wind. A ship under your command gets the most out of every square inch of her sails.{***}
str_perk_long_descr_37|You have had significant success with naval gunnery. The personnel you have trained reload their cannons with astonishing speed.{***}
str_perk_long_descr_26|Your cruelty and utter disregard for morality are infamous across West India. Pirates and outlaws sing the songs about El Diablo and are honored to serve under his - that is, your - command.{***}
str_perk_long_descr_46|The riders of your company charge time and again without fear of death.{***}
str_perk_long_descr_12|Your riding skill allows you to exploit your mount to the maximum of its ability. You ought to try yourself at the races - a prize would be yours in no time.{***}
str_perk_long_descr_24|You are known to be a good Catholic, professing the True Faith and obedient to the Pope. Spanish volunteers are eager to sail under your flag.{***}
str_perk_long_descr_25|You have rejected the papist heresy and the Antichrist that reigns in Rome. Honest Calvinists and Huguenots treat you as a brother and are eager to join your party.{***}
str_perk_long_descr_08|They say Gustavus Adolphus has taught his soldiers to increase their rate of fire by replacing one another in line. You achieve that same rate of fire all by yourself.{***}
str_perk_long_descr_19|You may not look like it, but you can handle the heaviest armor and the most unwieldy tools of slaughter as if they were made of card and paper.{***}
str_perk_long_descr_04|The grim infamy of the professional duelist goes before you. Few would dare to cross their swords with yours.{***}
str_perk_long_descr_20|You have studied the complex science of trading and making a profit out of nothing. ''Buy dear, sell cheap'' - such is certainly not said about you!{***}
str_perk_long_descr_15|You'd strip a corpse of its underwear without flinching if you found it sufficiently pretty or valuable. Wherever you company passes, only naked bodies are left behind.{***}
str_perk_long_descr_54|Sometimes, a doomed ship's captain fancies to play the hero and deprives his enemies of their prize by ordering to scuttle his vessel. Few would dare to do that, were they but aware that their enemy is you!{***}
str_perk_long_descr_27|Whether with a kind word or with a pistol, you make your prisoners offers they can't refuse.{***}
str_perk_long_descr_38|Your intuition and strong sense of danger, combined with your seafaring skills, make you realize in advance when your ship is about to be fired upon and allow you to take measures to minimize the damages.{***}
str_perk_long_descr_05|Your strength, ruthlessness and determination are the stuff of legend. Street bullies and gang leaders try to avoid you like a plague.{***}
str_perk_long_descr_39|You know the Achilles' heel of every vessel. Guided by your steady hand, the bow of your ship crushes enemy broadsides like slivers.{***}
str_perk_long_descr_29|You have secured useful connections in European capitals. Your friends at various courts are willing to assist you with hiring continental troops.{***}
str_perk_long_descr_40|You have learned to compute ranges, angles and trajectories instantly in your mind. The timing of your actions and commands do wonders to the precision of your gunnery.{***}
str_perk_long_descr_48|Your drills and the discipline you have instilled turns your daredevils into mighty and fearless fighters.{***}
str_perk_long_descr_28|The soldiers quickly learn to obey your every word, and not just out of fear of flogging. They know your lessons help them keep their hides whole.{***}
str_perk_long_descr_47|You have drilled your musketeers perfectly and command them well. With you in charge, they display wonders of discipline and precision.{***}
str_perk_long_descr_55|Yarr! Ye be a plague o' high seas an' a nightmare o' them captains. Your fleet drives enemies into a panic, disrupting the well-drilled discipline of their gunners.{***}
str_perk_long_descr_06|Whether you fight with sword or chair leg, few can match your skill at melee. For every enemy thrust you respond with two.{***}
str_perk_long_descr_49|Few adversaries can withstand the crushing charge of your brave cavalry.{***}
str_perk_long_descr_09|Many compare you to William Tell for marksmanship, however few would volunteer for an apple-shot.{***}
str_perk_long_descr_36|You are expert shipbuilder and can ensure that the repair is effective, making your crew fix breaches and sew sails with minimal waste. Moreover, other shipwrights have a hard time swindling you at their shipyards.{***}
str_perk_long_descr_31|The tales of your victories and plunder are told all over the Main, and you have no shortage of daredevils willing to serve under your command.{***}
str_perk_long_descr_41|You know the art of fortification. Even better, you know how to take it apart. Your cannons down stone walls as if they were made of sand.{***}
str_perk_long_descr_56|Your daredevil cutthroats inspire terror in your enemies. Few sailors dare to grab a weapon and join the fight once they hear the Sea Devil himself is boarding their vessel...{***}
str_perk_long_descr_42|A few precise shots at enemy powder magazines, and only burning wrecks remain where your flagship has passed.{***}
str_perk_long_descr_53|Your power and glory make viceroys and governors general tremble. Those whom you ''serve'' dare not to utter a single word in contradiction. But remember, ''The second man in the realm has few friends...''{***}
str_perk_long_descr_51|The strength and bravery of your warriors inspires fear in your adversaries. Enemy soldiers desert in masses whenever they hear that it is your company that marches upon them.{***}
str_perk_long_descr_50|Your musketeers are considered the best trained and most disciplined unit in the entire Caribbean, and rightly so - all thanks to their valorous commander.{***}
str_perk_long_descr_43|The sailors of your fleet don't fear the Sea Devil himself and are ready to follow you all the way to hell and back.{***}
str_perk_long_descr_52|The fearsome reputation of your cavalry is high enough to make the stampeding of your enemies clatter more loudly than the thunder of your horses' hooves.{***}
str_perk_effects_57|+3 to maximum company size{***}
str_perk_effects_63|+3 accuracy with all kinds of firearms and throwing weapons{***}
str_perk_effects_61|+3% damage dealt with balls and chainballs in naval combat ^+2% damage dealt with grapeshot in naval combat{***}
str_perk_effects_60|-10% to harbor taxes and mooring fees^-10% to manufacture upkeep{***}
str_perk_effects_62|+3 attack speed with all kinds of melee weapons{***}
str_perk_effects_59|-5% xp required for troopers to level up{***}
str_perk_effects_58|+3% speed at sea on strategic map ^+3% to favorable wind bonus in combat ^-3% to adverse wind penalty in combat{***}
str_perk_effects_64|+3 speed and maneuverability, +1 charge for any horse ridden by the player{***}
str_perk_effects_18|Damaged weapons and armor in player's inventory are slowly repaired{***}
str_perk_effects_02|+1 slashing damage with all kinds of melee weapons{***}
str_perk_effects_21|+50% to morale bonus from foodstuff in inventory {***}
str_perk_effects_17|Sick and wounded horses in player's inventory are slowly nursed to health ^+10 hit points to any horse the player rides on{***}
str_perk_effects_01|+1 piercing damage with all kinds of melee weapons{***}
str_perk_effects_32|+30% to firefighting{***}
str_perk_effects_03|+1 blunt damage with all kinds of melee weapons{***}
str_perk_effects_11|The Riding-based limitation on horse use is lowered by 1{***}
str_perk_effects_13|The amount of money, food and wares found after combat is doubled{***}
str_perk_effects_16|Damaged clothing, gloves and shoes in player's inventory are slowly repaired{***}
str_perk_effects_33|The Fleetmaster-based limitation on ship use is lowered by 1{***}
str_perk_effects_23|+10 to maximum company size{***}
str_perk_effects_14|The amount of horses found after combat is doubled{***}
str_perk_effects_45|+10% damage and weapon speed for all melee infantry units in party{***}
str_perk_effects_44|+10% accuracy and reload speed for all musketeers in party{***}
str_perk_effects_34|+10% speed at sea on strategic map ^+10% to favorable wind bonus in combat ^-10% to adverse wind penalty in combat{***}
str_perk_effects_37|-12% reloading time of light cannons (below 16lb) in naval combat ^-7% reloading time of heavy cannons (16+lb) in naval combat{***}
str_perk_effects_26|-10% to price and upkeep of Buccaneer and outlaw troopers ^+10 morale for Buccaneer and outlaw troopers{***}
str_perk_effects_46|+10% damage and weapon speed for all cavalry units in party{***}
str_perk_effects_12|+10 speed and maneuverability, +3 charge for any horse ridden by the player{***}
str_perk_effects_24|-10% to price and upkeep of Spanish troopers ^+10 morale for Spanish troopers{***}
