qstr__plantation_horse_ba|养马场
qstr_Infantry|Infantry{***}
qstr_Musketeers|Musketeers{***}
qstr_Cavalry|Cavalry{***}
qstr_Harquebusiers|Harquebusiers{***}
qstr_Fleet|Fleet{***}
qstr_Fee:_{reg2}|Fee: {reg2}{***}
qstr_{s46}|{s46}{***}
qstr_Garrison|Garrison{***}
qstr_Clerks|Clerks{***}
qstr_Auto_buy_raw_materia|Auto buy raw materials{***}
qstr_Auto_sell_production|Auto sell production{***}
qstr_Hull:_{reg11}/{reg10}|Hull: {reg11}/{reg10} Sails: {reg13}/{reg12} Crew: {reg15}/{reg14} Cargo hold: {reg16}{***}
qstr_Next|Next{***}
qstr_Convoy|Convoy{***}
qstr_Money_in_bank|Money in bank{***}
qstr_Convoy_ships_hold|Convoy ships hold{***}
qstr_Back|Back{***}
qstr_Your_caravan_departe|Your caravan departed from {s1} to {s2}.{***}
qstr_Food_unavailable_in_|Food unavailable in a nearby city is very expensive to procure{***}
qstr_Your_order|Your order{***}
qstr_The_time_before_the_|The time before the explosion:{***}
qstr_00:00|00:00{***}
qstr_0{reg1}|0{reg1}{***}
qstr_{s1}:{s2}|{s1}:{s2}{***}
qstr_0/3|0/3{***}
qstr_{reg1}/3|{reg1}/3{***}
qstr_{reg1}/8|{reg1}/8{***}
qstr_{reg1}/4|{reg1}/4{***}
qstr_ALARM|ALARM{***}
qstr_Undefined!|Undefined!{***}
qstr_script_battlegroup_p|script battlegroup place around leader: invalid leader agent (bad call){***}
qstr_script_battlegroup_pl|script battlegroup place around leader: leader team mismatch (bad call){***}
qstr_ranks|ranks{***}
qstr_shield_wall|shield wall{***}
qstr_wedge|wedge{***}
qstr_square|square{***}
qstr_up|up{***}
qstr_Not_enough_troops_in|Not enough troops in {s2} to form {s1}.{***}
qstr_{s1}:_infantry_forma|{s1}: infantry formation disassembled.{***}
qstr_{s1}:_marksman_forma|{s1}: marksman formation disassembled.{***}
qstr_{s1}:_skirmisher_for|{s1}: skirmisher formation disassembled.{***}
qstr_{s1}:_cavalry_format|{s1}: cavalry formation disassembled.{***}
qstr_{s1}:_formation_disa|{s1}: formation disassembled.{***}
qstr_Cavalry_formation_di|Cavalry formation disassembled.{***}
qstr_The_placement_of_{s1|The placement of {s1} division {reg0} memorized.{***}
qstr_The_placement_of_{s1}|The placement of {s1} division {reg0} set to default.{***}
qstr_Your_party_s_tactica|Your party's tactical skill limits how far away you can deploy your troops!{***}
qstr_...and_attack_enemy_|...and attack enemy {s1} division!{***}
qstr_{s0}_division_{reg0}|{s0} division {reg0} fire on enemy {s1} division!{***}
qstr_{s2}:_returning_afte|{s2}: returning after destroying enemy {s1} division.{***}
qstr_infantry|infantry{***}
qstr_musketeer|musketeer{***}
qstr_cavalry|cavalry{***}
qstr_pike|pike{***}
qstr_skirmisher|skirmisher{***}
qstr_harquebusier|harquebusier{***}
qstr_support|support{***}
qstr_bodyguard|bodyguard{***}
qstr_gunnery__bot_|gunnery (bot){***}
qstr_undetermined_type_of|undetermined type of{***}
qstr_script_battlegroup_g|script battlegroup get attack destination: bad first agent team {reg1} division {reg2} formation {reg3}{***}
qstr_battlegroup_get_acti|battlegroup get action radius: negative radius for team {reg0} division {reg1} formation {reg2}{***}
qstr_Jump_to_another_ship|Jump to another ship{***}
qstr_Sleep|Sleep{***}
qstr_Leave_the_camp|Leave the camp{***}
qstr_Climb|Climb{***}
qstr_Climb_to_crow_s_nest|Climb to crow's nest{***}
qstr_Descend_back_to_the_|Descend back to the deck{***}
qstr_Enter|Enter{***}
qstr_Reload_cannon|Reload cannon{***}
qstr_Push_cannon|Push cannon{***}
qstr_Take_aim|Take aim{***}
qstr_Use_cannon|Use cannon{***}
qstr_Leave_the_tavern|Leave the tavern{***}
qstr_Leave_the_area|Leave the area{***}
qstr_Open_window|Open window{***}
qstr_An_empty_chest...|An empty chest...{***}
qstr_A_full_goods_chest..|A full goods chest...{***}
qstr_DD:_{s7}|DD: {s7}{***}
qstr__near_{s10}| near {s10}{***}
qstr_Your_recruiter_who_w|Your recruiter who was commissioned to bring {reg10} volunteers to {s13} has been killed{s10}!{***}
qstr_Your_caravan_traveli|Your caravan traveling from {s12} to {s13} has been looted{s10}!{***}
qstr_Your_messenger_on_th|Your messenger on the way to {s13} has been murdered{s10}!{***}
qstr_Your_soldiers_patrol|Your soldiers patrolling {s13} have been defeated{s10}!{***}
qstr_A_scout_trying_to_ga|A scout trying to gather information about {s13} has been slain{s10}!{***}
qstr_{s1}_of_the_{s3}_has|{s1} of the {s3} has been defeated in battle, but escaped with his life.{***}
qstr_{s1}_is_now_a_prison|{s1} is now a prisoner of {s2}.{***}
qstr_{s54}_claims_the_rig|{s54} claims the right to rule over the colonies of {s56}.{***}
qstr_nowhere|nowhere{***}
qstr_{s57}_and_{s58}|{s57} and {s58}{***}
qstr_{reg3?She:He}|{reg3?She:He}{***}
qstr_The_town_of_{s50}|The town of {s50}{***}
qstr_The_village_of_{s50}|The village of {s50} near {s52}{***}
qstr_{s51}_is_governed_by|{s51} is governed by {s1} of the {s2}.^{***}
qstr_{s7}_and_{s8}|{s7} and {s8}{***}
qstr_{s2}{reg0?The_villag|{s2}{reg0?The villages of {s8} lie nearby:The village of {s8} lies nearby}.^{***}
qstr_{s2}The_prosperity_o|{s2}The prosperity of this settlement is thought to be {s50}.{***}
qstr_no_one|no one{***}
qstr_{s9}_and_{s10}|{s9} and {s10}{***}
qstr_{s5}_has_been_defeat|{s5} has been defeated!{***}
qstr_{s7}_opened_the_gate|{s7} opened the gate{***}
qstr_{s7}_closed_the_gate|{s7} closed the gate{***}
qstr_{reg10}_{reg11}|{reg10}, {reg11}{***}
qstr_SARI_RATIO_EVENT_{re|SARI RATIO EVENT {reg0}{***}
qstr_+{reg1}_to_company_m|+{reg1} to company morale{***}
qstr_+1_to_{s1}_while_in_|+1 to {s1} while in inventory{***}
qstr_Move_here|Move here{***}
qstr_View_notes|View notes{***}
qstr_View_fleet_notes|View fleet notes{***}
qstr_Accompany|Accompany{***}
qstr_Look_for_smugglers|Look for smugglers{***}
qstr_killed|killed{***}
qstr_wounded|wounded{***}
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOTAL: {reg3} ({s2}){***}
qstr_^None|^None{***}
qstr_nothing|nothing{***}
qstr_{reg0}_village{reg1?|{reg0} village{reg1?s:}{***}
qstr_{reg0}_town{reg1?s:}|{reg0} town{reg1?s:}{***}
qstr_{reg0}_town{reg1?s:}_|{reg0} town{reg1?s:} and {s0}{***}
qstr_{reg0}_town{reg1?s:}_{|{reg0} town{reg1?s:}, {s0}{***}
qstr_Battle_Advantage_=_{|Battle Advantage = {reg0}.{***}
qstr_{s9}_wants_you_to_re|{s9} wants you to resume following his army until further notice.{***}
qstr_Tribune|Tribune{***}
qstr_{s5}_now_leads_the_f|{s5} now leads the forces of the {s7} from {s4}.{***}
qstr_{s5}_of_the_{s7}_bec|{s5} of the {s7} becomes a governor of {s4}.{***}
qstr__Being_Raided_|(Being Raided){***}
qstr__Looted_|(Looted){***}
qstr__Under_Siege_|(Under Siege){***}
qstr_The_village_of_{s1}_|The village of {s1} has been looted by {s2}.{***}
qstr_{s3}_is_no_longer_un|{s3} is no longer under siege.{***}
qstr_Minor_enemy_presence|Minor enemy presence discovered near {s1}.{***}
qstr_Enemy_patrol_spotted|Enemy patrol spotted near {s1}.{***}
qstr_Enemy_detachment_spo|Enemy detachment spotted near {s1}.{***}
qstr_Enemy_company_spotte|Enemy company spotted near {s1}.{***}
qstr_Enemy_battalion_spot|Enemy battalion spotted near {s1}.{***}
qstr_Enemy_regiment_spott|Enemy regiment spotted near {s1}.{***}
qstr_Enemy_army_spotted_n|Enemy army spotted near {s1}.{***}
qstr_{s0}_collects_{reg0}|{s0} collects {reg0} piastres from {s4}, current wealth: {reg1} piastres{***}
qstr_{reg2}|{reg2}{***}
qstr__{s10}_of_the_{s13}_| {s10} of the {s13} recruits {s11} {s12} in {s14}{***}
qstr_{s1}_has_been_besieg|{s1} has been besieged by {s2} of the {s3}.{***}
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}{***}
qstr_{s14}__{s21}_|{s14} ({s21}){***}
qstr_{s5}_has_the_greates|{s5} has the greatest support among the nobles of the {s4} to be the next admiral, but {s0} overrules their choice.{***}
qstr_{s5}_has_the_greatest|{s5} has the greatest support among the nobles of the {s4} to be given {s1} to manage, but {s0} overrules their choice.{***}
qstr_{s1}_is_the_new_admi|{s1} is the new admiral of the {s2}.{***}
qstr_You_gained_{reg12}_r|You gained {reg12} renown.{***}
qstr_You_lost_{reg12}_ren|You lost {reg12} renown.{***}
qstr_Your_relation_with_{|Your relation with {s1} has improved.{***}
qstr_Your_relation_with_{s|Your relation with {s1} has deteriorated.{***}
qstr_{s1}_has_declared_wa|{s1} has declared war against {s2}.{***}
qstr_{s0}_is_besieging_{s|{s0} is besieging {s1}.{***}
qstr_{s0}_is_patrolling_a|{s0} is patrolling around {s1}.{***}
qstr_{s0}_is_raiding_arou|{s0} is raiding around {s1}.{***}
qstr_{s0}_is_engaging_{s1|{s0} is engaging {s1}.{***}
qstr_{s0}_is_accompanying|{s0} is accompanying {s1}.{***}
qstr_{s0}_is_screening_th|{s0} is screening the advance of {s1}.{***}
qstr_{s0}_is_trading_with|{s0} is trading with {s1}.{***}
qstr_{s0}_is_retreating_t|{s0} is retreating to {s1}.{***}
qstr_{s0}_is_visiting_{s1|{s0} is visiting {s1}.{***}
qstr_{s1}_and_{s2}_have_m|{s1} and {s2} have made peace with each other.{***}
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?was:is currently} at {s3}.{***}
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?was:is} travelling to {s3} and {reg4?she:he} {reg3?was:should be} close to {s4}{reg3?: at the moment}.{***}
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?was:is} in the field and {reg4?she:he} {reg3?was:should be} close to {s3}{reg3?: at the moment}.{***}
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?was:is} being held captive at {s3}.{***}
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?was:has been} taken captive by {reg4?her:his} enemies.{***}
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}'s location was unknown:I don't know where {s2} is}.{***}
qstr_{s6}_has_joined_your|{s6} has joined your party.{***}
qstr_You_now_owe_{reg2}_p|You now owe {reg2} piastres to {s1}.{***}
qstr_Renown_value_for_thi|Renown value for this battle is {reg8}.{***}
qstr_You_have_run_into_a_|You have run into a trap!{***}
qstr_You_are_attacked_by_|You are attacked by a group of outlaws!{***}
qstr_Holding|Holding{***}
qstr_Following|Following{***}
qstr_Charging|Charging{***}
qstr_Advancing|Advancing{***}
qstr_Falling_Back|Falling Back{***}
qstr_Standing_Closer|Standing Closer{***}
qstr_Spreading_Out|Spreading Out{***}
qstr_Standing|Standing{***}
qstr_N/A|N/A{***}
qstr_Any_Weapon|Any Weapon{***}
qstr_Blunt_Weapons|Blunt Weapons{***}
qstr_Your_soldiers_patroll|Your soldiers patrolling {s6} have deserted after you defected from your faction!{***}
qstr_{s1}_Rebels|{s1} Rebels{***}
qstr_Given_by:_{s62}|Given by: {s62}{***}
qstr_Given_on:_{s60}|Given on: {s60}{***}
qstr_You_have_{reg0}_days|You have {reg0} days to finish this quest.{***}
qstr_This_quest_has_been_|This quest has been concluded. Talk to {s59} to finish it.{***}
qstr_This_quest_has_been_s|This quest has been successfully completed. Talk to {s59} to claim your reward.{***}
qstr_This_quest_has_been_f|This quest has been failed. Talk to {s59} to explain the situation.{***}
qstr_At_the_time_quest_wa|At the time quest was given:^{s1}{***}
qstr_{s5}_has_a_strength_|{s5} has a strength of {reg1} men in total.{***}
qstr_The_last_time_you_sa|The last time you saw {reg1?her:him}, {s1}{***}
qstr_The_last_time_you_he|The last time you heard about {reg1?her:him}, {s1}{***}
qstr_Current_garrison_con|Current garrison consists of {reg5} men.^Has enough food stocks to last {reg6} days.{***}
qstr_Very_Poor|Very Poor{***}
qstr_Poor|Poor{***}
qstr_Average|Average{***}
qstr_Rich|Rich{***}
qstr_Very_Rich|Very Rich{***}
qstr_Manor|Manor{***}
qstr_A_manor_allows_you_t|A manor allows you to rest at the village and pay your troops half their wages while you rest.{***}
qstr_Mill|Mill{***}
qstr_A_mill_increases_vil|A mill increases village prosperity by 5%.{***}
qstr_Watch_Tower|Watch Tower{***}
qstr_A_watch_tower_lets_t|A watch tower lets the villagers raise alarm earlier. The time it takes for enemies to loot the village increases by 50%.{***}
qstr_School|School{***}
qstr_A_shool_increases_th|A shool increases the loyalty of the villagers to you by +1 every month.{***}
qstr_Messenger_Post|Messenger Post{***}
qstr_A_messenger_post_let|A messenger post lets the inhabitants send you a message whenever enemies are nearby, even if you are far away from here.{***}
qstr_Prison|Prison{***}
qstr_A_prison_reduces_the|A prison reduces the chance of captives held there running away successfully.{***}
qstr_Prosperity_of_{s2}_h|Prosperity of {s2} has changed from {s3} to {s4}.{***}
qstr_{s4}_looks_upset.|{s4} looks upset.{***}
qstr_your_party|your party{***}
qstr_{reg0?One_of_your_pr|{reg0?One of your prisoners, :}{s1} of the {s3} has escaped from captivity!{***}
qstr_You_brought_{reg3}_h|You brought {reg3} heads of cattle to {s1}.{***}
qstr_I_heard_that_there_w|I heard that there will be a tournament in {s62} soon.{***}
qstr_I_heard_{s62}_is_ver|I heard {s62} is very cheap at {s63} these days.{***}
qstr_I_heard_there_is_hig|I heard there is high demand for {s62} at {s63}.{***}
qstr_two_days_ago|two days ago{***}
qstr_Best_threat_of_{s4}_|Best threat of {s4} has value level of {reg1}{***}
qstr_No_center_found_to_d|No center found to defend{***}
qstr_{s0}^{s1}|{s0}^{s1}{***}
qstr_{reg0}_piastres_adde|{reg0} piastres added to treasury.{***}
qstr_{reg0}_piastres_remo|{reg0} piastres removed from treasury.{***}
qstr_The_{s1}_and_the_{s2|The {s1} and the {s2} have entered into an alliance with each other.{***}
qstr_The_{s1}_and_the_{s2}|The {s1} and the {s2} have concluded a defensive pact with each other.{***}
qstr_The_{s1}_and_the_{s2}_|The {s1} and the {s2} have concluded a trade agreement with each other.{***}
qstr_The_{s1}_and_the_{s2}_h|The {s1} and the {s2} have concluded a non aggression pact with each other.{***}
qstr_{s5}_patrol|{s5} patrol{***}
qstr_Transfer_to_{s5}|Transfer to {s5}{***}
qstr_{s5}_scout|{s5} scout{***}
qstr_{s4}_has_returned_fr|{s4} has returned from exile, seeking refuge with {s6} of {s5}.{***}
qstr_{s4}_has_been_grante|{s4} has been granted a pardon by {s6} of {s5} and has returned from exile.{***}
qstr_Given_the_way_things|Given the way things stand between us at the moment, {playername}, I would not consider it prudent to enter into such an arrangement.{***}
qstr_{playername}_I_am_gr|{playername}, I am grateful to you, but in the eyes of the people you do not have sufficient legitimacy as a potential co-ruler.  Marrying you would undermine my own claim to rule.{***}
qstr_{playername}_I_know_|{playername}, I know that if it were not for you I would not hold this position, but your name is little renowned in these lands.  Marrying you would be perceived as an uneven match and would call into question my own claim to rule.{***}
qstr_{playername}_I_am_gra|{playername}, I am grateful for your assistance in regaining my rightful position, but you do not have sufficient personal estates to be a suitable match for me.  It would be an uneven partnership.{***}
qstr_{playername}_I_am_grat|{playername}, I am grateful to you, but if I were to accept at this time I would risk offending powerful nobles such as {s15}, who may consider themselves to have honor equal to or greater than your own.{***}
qstr_{playername}_I_am_grate|{playername}, I am grateful to you, but if I were to accept at this time I would risk offending great nobles such as {s15}, who may consider themselves to have honor equal to or greater than your own.{***}
qstr_{playername}_while_I|{playername}, while I am grateful to you, I must confess I am fond of {s15}.{***}
qstr_Our_realm_doesn_t_ha|Our realm doesn't have enough nobles. In the current precarious state of the affairs I must use the lure of a potential political alliance to attract new nobles, and cannot yet be seen to commit to any single {reg65?suitor:candidate}.{***}
qstr_Because_I_have_insuf|Because I have insufficient personal estates compared to {s15}, if I entered into such an arrangement I would risk appearing to be a puppet, throwing the stability of the realm into jeopardy.{***}
qstr_Because_my_personal_|Because my personal estates are insufficiently large compared to other nobles of {s14}, if I entered into such an arrangement I would risk appearing to be a puppet, throwing the stability of the realm into jeopardy.{***}
qstr_I_am_grateful_to_you|I am grateful to you, {playername}, but you have too many enemies among the nobles of {s14} for your proposal to be politically viable. If I were to accept, there might be a revolt.{***}
qstr_You_have_engendered_|You have engendered too much controversy recently, {playername}. If I were to accept at this time, there might be a revolt among the nobles of {s14}. Let us speak of this later when the furor has died down.{***}
qstr_If_you_desire_to_rul|If you desire to rule over the lands of {s14} alongside me, gather support among my nobles to become the admiral, and demonstrate to them your abilities as a war leader.{***}
qstr_Our_realm_has_lost_t|Our realm has lost too much territory. We once held {s1} but now only hold {s0}. In the current precarious state of affairs I must retain the possibility of a political alliance to use as a bargaining chip with the other rulers, so I yet be seen to commit to any single {reg65?suitor:candidate}. Restore {s14} to its former glory, and I will gladly have you rule beside me as my {husband/wife}.{***}
qstr_{s0}_{reg0?have:has}|{s0} {reg0?have:has} been lost to foreign hands. Restore {s14} to its rightful boundaries, and I will gladly have you rule beside me as my {husband/wife}.{***}
qstr_You_have_only_been_a|You have only been admiral for {reg0} {reg1?days:day}.  Let us speak of this after you have held the post for at least two weeks.{***}
qstr_If_not_for_you_I_wou|If not for you I would not hold this position, {playername}. In the beginning of our struggle, hardly a man dared to raise his voice in the support of our cause. Fewer still were those willing risk their life and join us against the usurper. But you, you didn't hesitate for a moment when it came to challenging my enemies. Many a hardship we have gone through, many setbacks have put me on the brink of losing all hope. And yet, with God's help, we prevailed! I will gladly accept you as both my {husband/wife} and co-ruler of {s14}.{***}
qstr_You_have_bought_{reg|You have bought {reg2} {reg4?kinds:kind} of food, spending {reg1} {reg3?piastres:piastre}.{***}
qstr_You_sold_{reg2}_{reg|You sold {reg2} {reg4?kinds:kind} of rotten food, earning {reg1} {reg3?piastres:piastre}.{***}
qstr_sword|sword{***}
qstr_cutlass|cutlass{***}
qstr_rapier|rapier{***}
qstr_swords|swords{***}
qstr_cutlasses|cutlasses{***}
qstr_rapiers|rapiers{***}
qstr_swing_my_sword|swing my sword{***}
qstr_swing_my_cutlass|swing my cutlass{***}
qstr_thrust_my_rapier|thrust my rapier{***}
qstr_leaders|leaders{***}
qstr_rulers|rulers{***}
qstr_noble|noble{***}
qstr_nobles|nobles{***}
qstr_my_goatherd|my goatherd{***}
qstr_my_stableboy|my stableboy{***}
qstr_my_swineherd|my swineherd{***}
qstr_gin|gin{***}
qstr_rum|rum{***}
qstr_ale|ale{***}
qstr_wine|wine{***}
qstr_{reg6?M:m}y_poppet|{reg6?M:m}y poppet{***}
qstr_{reg0?Y:y}ou|{reg0?Y:y}ou{***}
qstr_{reg0?M:m}yself|{reg0?M:m}yself{***}
qstr_{reg0?Our_{s1}:our_{|{reg0?Our {s1},:our {s1}} {s0}{***}
qstr_{reg0?My_{s1}:my_{s1|{reg0?My {s1},:my {s1}} {s0}{***}
qstr_{reg0?Your_{s1}:your|{reg0?Your {s1},:your {s1}} {s0}{***}
qstr_Press_{s1}{s2}{s3}{s|Press {s1},{s2},{s3},{s4} to move the camera and use the mouse or {s5},{s6},{s7},{s8} to rotate. Hold {s9} to move faster.{***}
qstr_Press_{s1}{s2}{s3}{s4|Press {s1},{s2},{s3},{s4},{s5},{s6} to move the camera around the troop you are following. Hold {s9} to move faster. Press {s7} or {s8} to cycle through troops. Holding {s10} will cycle through the same team and {s11} will cycle to the opposite team.{***}
qstr_Press_{s0}_to_toggle|Press {s0} to toggle between camera modes.{***}
qstr_You_have_been_knocke|You have been knocked out by the enemy. Watch your men continue the fight without you or press Tab to retreat.{***}
qstr_No_Troops_Left.|No Troops Left.{***}
qstr_DEBUG_:_Weather_pena|DEBUG : Weather penalty {reg2}% - {s0}: {reg0} to {reg1}{***}
qstr_DEBUG_:_{s0}_profici|DEBUG : {s0} proficiency restored to: {reg1}{***}
qstr_{s0}^{reg0}:_{s1}___|{s0}^{reg0}: {s1} - {reg1} ({reg2}){***}
qstr_{s1}___{reg3}_stacks|{s1} - {reg3} stacks:^{s0}{***}
qstr_{s0}___{reg1}|{s0} - {reg1}{***}
qstr_An_outbreak_of_{s0}_|An outbreak of {s0} plagues your party.{***}
qstr_{s50}_and_{s0}|{s50} and {s0}{***}
qstr_An_outbreak_of_{s50}|An outbreak of {s50} plagues your party.{***}
qstr_Outbreaks_of_{s50}_a|Outbreaks of {s50} are plaguing your party.{***}
qstr_Player:_The_city_of_|Player: The city of {s30} has started the construction of {s31}{***}
qstr_{s0}_{s2}|{s0}, {s2}{***}
qstr_{s30}_now_have_{s31}|{s30} now have {s31}{***}
qstr_In_{s1}_{s51}|In {s1} {s51}{***}
qstr_Head|Head{***}
qstr_{s53}_^{s52}|{s53} ^{s52}{***}
qstr_{s53}_^Due_to_your_l|{s53} ^Due to your lack of gold, the expenses were funded by {s1}, {reg0} piastres in total. You are expected to return money in 29 days.{***}
qstr_tax:_{reg3}|tax: {reg3}{***}
qstr__{s2}_stud:_{reg0}| {s2} stud: {reg0}{***}
qstr_of_deposit|of deposit{***}
qstr_of_credit|of credit{***}
qstr_The_town_s_best_weap|The town's best weaponsmith crafts arms of truly outstanding quality, be it blades forged from the best steel known to man, or firearms made after the most advanced European designs.{***}
qstr_Master_armorsmith_fo|Master armorsmith forges armor of unsurpassed quality. His prices are steep, but every noble of means and taste is proud to wear such attires into battle.{***}
qstr_Your_order_is_still_|Your order is still unfinished.{***}
qstr_You_didn_t_pick_up_y|You didn't pick up your previous order yet.{***}
qstr_^{s20}_{s21}|^{s20} {s21}{***}
qstr_^People_on_the_stree|^People on the streets say: {s21}{***}
qstr_^Nothing_out_of_ordi|^Nothing out of ordinary catches your eye here.{***}
qstr_{reg10?{s29}:}_{reg1|{reg10?{s29}:} {reg10?{reg11?and:}:}{reg11?{s30}:}{***}
qstr_{s3}_{reg1}_|{s3}({reg1}){***}
qstr_{s4}_{s3}_{reg1}_|{s4}, {s3}({reg1}){***}
qstr_Your_company_is_star|Your company is starving!{***}
qstr_{s31}|{s31}{***}
qstr__{s32}| {s32}{***}
qstr_SARI_CAP#{reg0}__MER|SARI CAP#{reg0}  MERC#{reg1}{***}
qstr_SARI_$g_multiplayer_|SARI $g multiplayer squad size calc:{reg0}{***}
qstr_SARI_$g_multiplayer_s|SARI $g multiplayer squad size calc2:{reg0}{***}
qstr_{s11}_explodes!|{s11} explodes!{***}
qstr_{s11}_is_sinking!|{s11} is sinking!{***}
qstr_{s11}_only_suffers_n|{s11} only suffers negligible damage.{***}
qstr_^{s11}_has_been_dama|^{s11} has been damaged! {reg3?^Lost {reg3} points of hull integrity out of {reg0}: } {reg6?^Lost {reg4?{reg4} points of rigging integrity out of {reg1}: }:^The sails are utterly destroyed!} {reg5?^Lost {reg5} hands of the crew out of {reg2}: }  {reg8?^{reg8} cannons were crippled!: }{***}
qstr_{s21}|{s21}{***}
qstr_{s22}_^{s21}|{s22} ^{s21}{***}
qstr_{s22}_{reg7?^{reg7}_|{s22} {reg7?^{reg7} troops in the boarding team were wounded: }{***}
qstr_{s51}^{s52}|{s51}^{s52}{***}
qstr_Test_ship|Test ship{***}
qstr_Unknown_ship_class|Unknown ship class{***}
qstr_Fleet_distance:_very|Fleet distance: very far{***}
qstr_Fleet_distance:_far|Fleet distance: far{***}
qstr_Fleet_distance:_medi|Fleet distance: medium{***}
qstr_Fleet_distance:_clos|Fleet distance: close{***}
qstr_Fleet:^{s51}|Fleet:^{s51}{***}
qstr_Guns_damage:_^{reg2}|Guns damage: ^{reg2} - middle range, ^{reg3} - close combat.{***}
qstr_Double_taxes_were_co|Double taxes were collected at {s2}, totaling {reg10} piastres.{***}
qstr_Heretics_were_burned|Heretics were burned in {s2}. {reg10} of the heretics have repented of their sins and desire to redeem them in the ranks of your army.{***}
qstr_A_procession_had_bee|A procession had been held in {s2}. Relations with the town had increased.{***}
qstr_A_procession_had_been|A procession had been held in {s2}. The taverns and merchant houses had emptied. The merchants are outraged by the loss of profits.{***}
qstr_A_procession_had_been_|A procession had been held in {s2}. ^Banning the sales of alcohol and closing the brothels during the ceremony had driven the pirates into rage! ^Perhaps you should act differently with these infidels...{***}
qstr_Huge_development_pro|Huge development project was completed in {s2}.{***}
qstr_Bread_was_given_to_t|Bread was given to the poor in {s2}.{***}
qstr_Militia_was_called_t|Militia was called to arms in {s2}. {reg11} men fit for defending the town had assembled, total expenses: {reg10} piastres{***}
qstr_{s2}_is_too_poor_to_|{s2} is too poor to gather militia.{***}
qstr_{s2}_was_unable_to_g|{s2} was unable to gather militia due to lack of funds.{***}
qstr_Militia_was_disbande|Militia was disbanded in {s2}.{***}
qstr_There_was_no_one_to_|There was no one to disband at {s2}.{***}
qstr_Slaves_were_sold_in_|Slaves were sold in {s2}, {reg10} piastres were gained.{***}
qstr_This_soldier_costs_{|This soldier costs {reg11} piastres to hire{***}
qstr_{s20}_{s2}|{s20}, {s2}{***}
qstr_{s21}._Recruiting_hi|{s21}. Recruiting him requires the presence of {s20}{***}
qstr_{s21}_as_well_as_{s3|{s21}, as well as {s3}{***}
qstr_{s21}._He_is_drafted|{s21}. He is drafted from among the locals.{***}
qstr_{s21}._He_must_be_dr|{s21}. He must be drafted from the europeans of good standing, which costs {reg11} continental supplies.{***}
qstr_{s21}_Only_our_loyal|{s21} Only our loyal captains are permitted to recruit these soldiers.{***}
qstr_{s21}_Outsiders_are_|{s21} Outsiders are permitted to recruit these soldiers.{***}
qstr_{s21}_This_is_person|{s21} This is personal guard, whom you can train and outfit as you desire. For a fee, of course.{***}
qstr_{s21}_This_is_a_gunn|{s21} This is a gunner, he is necessary for the deployment of cannons on the battlefield.{***}
qstr_{s2}_lost_during_sie|{s2} lost during siege {reg0?{reg0} killed{reg1? and:}:}{reg1?{reg1} wounded:} troops{***}
qstr_Some_message|Some message{***}
qstr_Calibre:_{reg10}|Calibre: {reg10}{***}
qstr_{reg11}|{reg11}{***}
qstr_{reg12}|{reg12}{***}
qstr_^___________________|^-------------------------------------------{***}
qstr_Event:_{s2}|Event: {s2}{***}
qstr__{s2}|-{s2}{***}
qstr_Event_conditions_tru|Event conditions true{***}
qstr_Event_conditions_fal|Event conditions false{***}
qstr_ANSWER_OPTION_BLOCKE|ANSWER OPTION BLOCKED{***}
qstr_ERROR:_NO_ANSWER_TEX|ERROR: NO ANSWER TEXT DEFINED{***}
qstr___{s2}|--{s2}{***}
qstr_____________________|-------------------------------------------{***}
qstr_{s0}_joins_the_battl|{s0} joins the battle!{***}
qstr_hull:_{reg0}_sails:_|hull: {reg0} sails: {reg1} crew: {reg2} gun type: {reg3}{***}
qstr_{s2}_was_wounded!|{s2} was wounded!{***}
qstr_ship_id:_{reg0}_min_|ship id: {reg0} min dist: {reg1} dist2: {reg2} dist3 {reg3} d4 {reg4}{***}
qstr_{reg9?{reg10}_sailor|{reg9?{reg10} sailors:{reg10} sailor} rescued from the water.{***}
qstr_The_{s2}_picked_aboa|The {s2} picked aboard.{***}
qstr_The_ship_is_overload|The ship is overloaded and unable to take the {s2} aboard.{***}
qstr_fire!|fire!{***}
qstr_englishfirst|englishfirst{***}
qstr_englishmain|englishmain{***}
qstr_englishthird|englishthird{***}
qstr_flagspirate1|flagspirate1{***}
qstr_flagspirate4|flagspirate4{***}
qstr_neutralportugal|neutralportugal{***}
qstr_caribbean_naval_flag|caribbean naval flag psf{***}
qstr_caribbean_naval_flag_|caribbean naval flag psf 01{***}
qstr_caribbean_naval_flag_p|caribbean naval flag psf 02{***}
qstr_caribbean_naval_flag_ps|caribbean naval flag psf 03{***}
qstr_caribbean_naval_flag_psf|caribbean naval flag psf 04{***}
qstr_southeast|southeast{***}
qstr_east|east{***}
qstr_northeast|northeast{***}
qstr_north|north{***}
qstr_northwest|northwest{***}
qstr_west|west{***}
